node_id,name,degree,degree_centrality,closeness,betweenness,pagerank
Toro_(character),Toro (character),7,0.025362318840579712,0.3909348441926346,0.003379208301692016,0.002178973933035126
Hulkling,Hulkling,11,0.03985507246376812,0.40707964601769914,0.003255372824995988,0.0015092549261337758
Blue_Diamond_(character),Blue Diamond (character),9,0.03260869565217391,0.336996336996337,0.0031443899280369633,0.0006012767238342255
Arabian_Knight_(character),Arabian Knight (character),10,0.036231884057971016,0.3898305084745763,0.0030469047334393687,0.001296643631662772
Jericho_Drumm,Jericho Drumm,15,0.05434782608695652,0.41317365269461076,0.003033405556145122,0.007826301967388422
Spider-Woman,Spider-Woman,17,0.06159420289855073,0.416289592760181,0.002986675928767861,0.006040566696716627
Ares_(Marvel_Comics),Ares (Marvel Comics),9,0.03260869565217391,0.36947791164658633,0.0029673695157766467,0.0028185396934353756
Wolverine_(Ultimate_Marvel_character),Wolverine (Ultimate Marvel character),11,0.03985507246376812,0.4011627906976744,0.002898867293722745,0.004711355074004735
Red_Guardian,Red Guardian,8,0.028985507246376812,0.3828016643550624,0.0027725036623929933,0.003155070919588897
Spider-Bitch_(Ashley_Barton),Spider-Bitch (Ashley Barton),16,0.057971014492753624,0.4380952380952381,0.0027612168115109486,0.0011368603600052326
Radioactive_Man_(comics),Radioactive Man (comics),11,0.03985507246376812,0.416289592760181,0.002710304628001589,0.0024612493357597885
Beta_Ray_Bill,Beta Ray Bill,7,0.025362318840579712,0.416289592760181,0.0026567555842322353,0.0008493718746309265
Outlaw_(Marvel_Comics),Outlaw (Marvel Comics),9,0.03260869565217391,0.3699731903485255,0.0026056385771970865,0.0028116449106871935
Black_Knight_(Marvel_Comics),Black Knight (Marvel Comics),7,0.025362318840579712,0.375,0.0025373812044095093,0.003480608231754747
Whizzer_(Robert_Frank),Whizzer (Robert Frank),8,0.028985507246376812,0.3709677419354839,0.0024740020154788087,0.003533005804342013
Jubilee_(character),Jubilee (character),15,0.05434782608695652,0.4029197080291971,0.002440850863670513,0.004938926598403551
John_Jameson_(character),John Jameson (character),14,0.050724637681159424,0.4265842349304482,0.002379372933931516,0.0032399162911442713
Motormouth_(comics),Motormouth (comics),4,0.014492753623188406,0.37398373983739835,0.002342383370243776,0.0008542756822430441
Ghost_Rider_(Danny_Ketch),Ghost Rider (Danny Ketch),10,0.036231884057971016,0.42201834862385323,0.0022856761590607944,0.002773316701459914
Ms._Marvel,Ms. Marvel,11,0.03985507246376812,0.3948497854077253,0.0022787569258156,0.0050909351135206785
Ajak,Ajak,4,0.014492753623188406,0.3281807372175981,0.002243876243716487,0.0011420713093387989
Doom_2099,Doom 2099,9,0.03260869565217391,0.4046920821114369,0.0022213584920997916,0.0011641809766849399
Puck_(Marvel_Comics),Puck (Marvel Comics),9,0.03260869565217391,0.4194528875379939,0.002086747241973852,0.002648063975534589
Patsy_Walker,Patsy Walker,13,0.04710144927536232,0.4052863436123348,0.0020396541164524854,0.0036668544458933047
Chase_Stein,Chase Stein,6,0.021739130434782608,0.36947791164658633,0.0020081333952712602,0.0021376533499813965
Delroy_Garrett,Delroy Garrett,7,0.025362318840579712,0.34980988593155893,0.001967414011376531,0.0024952444945681206
Devil_Dinosaur,Devil Dinosaur,12,0.043478260869565216,0.43879173290937995,0.0019359659845460185,0.0017305951772139147
Nomad_(Marvel_Comics),Nomad (Marvel Comics),6,0.021739130434782608,0.3454317897371715,0.0018745807623078584,0.002287347184130949
Shuri_(character),Shuri (character),10,0.036231884057971016,0.42724458204334365,0.0018483395257376542,0.0031316974400087687
Spider-Girl,Spider-Girl,14,0.050724637681159424,0.40828402366863903,0.0018389525098775933,0.0025294438014414724
Guardian_(Marvel_Comics),Guardian (Marvel Comics),7,0.025362318840579712,0.35069885641677256,0.0017895464314852468,0.003315476533431955
Justice_(New_Universe),Justice (New Universe),6,0.021739130434782608,0.32662721893491126,0.0017711553812952692,0.00102202788323028
Ronin_(Marvel_Comics),Ronin (Marvel Comics),7,0.025362318840579712,0.39655172413793105,0.0017374296061941745,0.0021953905840537075
Red_Raven_(Marvel_Comics),Red Raven (Dania),5,0.018115942028985508,0.33617539585870887,0.0017113045038595028,0.0006580639582427408
Vulcan_(Marvel_Comics),Vulcan (Marvel Comics),11,0.03985507246376812,0.37347767253044656,0.0016935268322920969,0.004929364929959642
Silk_(character),Silk (character),12,0.043478260869565216,0.39598278335724535,0.0016697164766930567,0.009774241561630058
Vindicator_(comics),Vindicator (comics),6,0.021739130434782608,0.34980988593155893,0.0016535905998772411,0.0031916227288084037
Paladin_(comics),Paladin (comics),13,0.04710144927536232,0.41566265060240964,0.0016288952930645269,0.0028626834924958835
"Bob,_Agent_of_Hydra","Bob, Agent of Hydra",7,0.025362318840579712,0.42724458204334365,0.0015803709106315131,0.0017896717876682428
Kismet_(Marvel_Comics),Kismet (Marvel Comics),9,0.03260869565217391,0.38928067700987307,0.0015603887707204141,0.0013507588372058765
Two-Gun_Kid,Two-Gun Kid,6,0.021739130434782608,0.345,0.0015135949884659138,0.001485762302382888
Jeffrey_Mace,Jeffrey Mace,8,0.028985507246376812,0.32779097387173395,0.001507491701118767,0.002732164560108058
