node_id,giant_after,giant_fraction_remaining,component_count_after,nodes_outside_giant,fragmentation_score,name,degree,betweenness,closeness,pagerank,null_betweenness_mean,null_betweenness_sd,betweenness_z,betweenness_rank,fragmentation_rank
Captain_Marvel_(Marvel_Comics),276,1.0,1,0,0.0,Captain Marvel (Marvel Comics),17,0.00732259932502273,0.4052863436123348,0.00850167305391955,0.008329654404847134,0.0032388958107885247,-0.31092543220130053,57,51
Captain_Ultra,276,1.0,1,0,0.0,Captain Ultra,1,0.0,0.3411619283065513,0.0005300214031699635,0.0,0.0,0.0,245,52
Captain_Universe,276,1.0,1,0,0.0,Captain Universe,17,0.015329332039641198,0.4437299035369775,0.0035461550854540905,0.008552479017586084,0.0034391679962367584,1.9704919996553096,26,53
Caretaker_(comics),276,1.0,1,0,0.0,Caretaker (comics),3,0.0,0.32547169811320753,0.0013646165270827363,0.0003871817214809638,0.0011798958740288036,-0.3281490595936366,246,54
Ch'od,276,1.0,1,0,0.0,Ch'od,6,0.000305846453801733,0.3471698113207547,0.002212432316056425,0.0011942231020855153,0.00149834842065837,-0.5929039174302544,189,55
Chase_Stein,276,1.0,1,0,0.0,Chase Stein,6,0.0020081333952712602,0.36947791164658633,0.0021376533499813965,0.0010488836127856593,0.0009372367009943064,1.0234872166955702,119,56
Citizen_V,276,1.0,1,0,0.0,Citizen V,3,0.0005066107949604889,0.323943661971831,0.0013945549363021822,0.00026484864738913496,0.0007542540597904848,0.32053145015687445,169,57
Cloak_and_Dagger_(characters),276,1.0,1,0,0.0,Cloak and Dagger (characters),28,0.0213922247645382,0.467005076142132,0.004699893062432817,0.020426588383964616,0.004549990081068553,0.21222823860460113,15,58
Coldblood,276,1.0,1,0,0.0,Coldblood,2,5.698355414801539e-05,0.3187066974595843,0.0005300214031699635,6.65730446777155e-05,0.00011641036882714635,-0.08237660121100725,228,59
Crane_Mother,276,1.0,1,0,0.0,Crane Mother,3,0.0005016132288081175,0.35984354628422427,0.0009906671099682782,0.00028702896874560255,0.0007550447337946658,0.284200724086993,170,60
Crippler_(character),276,1.0,1,0,0.0,Crippler (character),4,0.0001838065776141926,0.345,0.0005300214031699635,0.0006289346915068679,0.0013493909026505914,-0.32987336213569823,204,61
Cyclops_(Marvel_Comics),276,1.0,1,0,0.0,Cyclops (Marvel Comics),26,0.011747653026827624,0.4107142857142857,0.012280947802650691,0.01816903484346375,0.004708700640162829,-1.3637269190283614,37,62
Dargo_Ktor,276,1.0,1,0,0.0,Dargo Ktor,2,4.435398734766079e-05,0.3250883392226148,0.0005300214031699635,0.00012078982753927209,0.0005806087187260906,-0.13164776505478357,233,63
Darkdevil,276,1.0,1,0,0.0,Darkdevil,4,8.72216458745718e-05,0.36268068331143233,0.0013975783312851339,0.0005620394523140359,0.0011131400234404534,-0.42655712348920327,221,64
Darkhawk,276,1.0,1,0,0.0,Darkhawk,15,0.015739854546835567,0.431924882629108,0.00470028318628846,0.0063268033954387804,0.002719735678134637,3.461016902147211,25,65
Debrii,276,1.0,1,0,0.0,Debrii,5,0.00038261849974567094,0.3445692883895131,0.0006620453393095178,0.0007649547521501312,0.0010395162159860785,-0.3678021049837866,180,66
Delroy_Garrett,276,1.0,1,0,0.0,Delroy Garrett,7,0.001967414011376531,0.34980988593155893,0.0024952444945681206,0.0018127846139930192,0.0021678545626934217,0.07132830774007026,120,67
Detroit_Steel,276,1.0,1,0,0.0,Detroit Steel,1,0.0,0.2839506172839506,0.0005300214031699635,0.0,0.0,0.0,247,68
Devil_Dinosaur,276,1.0,1,0,0.0,Devil Dinosaur,12,0.0019359659845460185,0.43879173290937995,0.0017305951772139147,0.004223720590310969,0.002570494129264317,-0.8900057695987472,121,69
Devil_Hulk,276,1.0,1,0,0.0,Devil Hulk,2,1.15244590366655e-05,0.35658914728682173,0.0029096997003075966,0.00016980329872777445,0.0008818758991580937,-0.17947972026700587,241,70
Digitek_(character),276,1.0,1,0,0.0,Digitek (character),1,0.0,0.3039647577092511,0.0005300214031699635,0.0,0.0,0.0,248,71
Doctor_Druid,276,1.0,1,0,0.0,Doctor Druid,9,0.0037088060840058936,0.39316239316239315,0.0015522964746402042,0.0026532595636260094,0.002208606129190558,0.4779242919002204,90,72
Doctor_Nemesis,276,1.0,1,0,0.0,Doctor Nemesis,15,0.010356135759167502,0.4339622641509434,0.003941123938096839,0.006478601567255973,0.0029666371488144185,1.3070470021792655,39,73
Dogpool,276,1.0,1,0,0.0,Dogpool,1,0.0,0.33093525179856115,0.0005300214031699635,0.0,0.0,0.0,249,74
Doom_2099,276,1.0,1,0,0.0,Doom 2099,9,0.0022213584920997916,0.4046920821114369,0.0011641809766849399,0.0023920045160198636,0.0019180253836864052,-0.08896963792632084,116,75
Dragon_Lord_(character),276,1.0,1,0,0.0,Dragon Lord (character),2,0.0,0.33293124246079614,0.0011925244810635537,6.37483165895813e-05,0.00012336381201000704,-0.5167505409480226,250,76
